,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
8644,46,0,1,1,0,526,0,1,0,31,5,251,3,-1,0,3,no
2632,46,0,1,2,0,2552,0,0,0,3,11,260,1,94,8,2,yes
3056,25,9,2,1,0,139,0,1,0,11,4,202,1,91,1,2,yes
1080,43,9,1,1,0,3288,1,0,0,21,9,775,3,-1,0,3,yes
4006,37,1,2,3,0,217,0,0,0,23,11,272,2,-1,0,3,yes
4605,36,9,1,1,0,368,1,1,2,6,8,1597,2,-1,0,3,yes
8253,38,7,1,1,0,3165,1,0,2,12,8,152,2,-1,0,3,no
9314,48,3,2,1,0,71,0,0,0,28,1,97,3,-1,0,3,no
7294,31,1,2,1,0,609,1,0,0,14,0,1126,1,335,1,0,no
1928,28,0,0,1,0,451,1,0,0,13,8,302,1,301,1,2,yes
10498,34,4,1,2,0,105,1,0,2,6,8,314,3,-1,0,3,no
816,49,9,1,1,0,412,0,0,0,19,1,1293,8,-1,0,3,yes
8625,27,6,2,2,0,5214,1,0,2,28,8,94,1,-1,0,3,no
7323,41,9,2,1,0,30,0,0,2,23,8,1003,1,-1,0,3,no
9011,38,6,0,1,0,2674,1,0,2,19,6,163,2,-1,0,3,no
8124,74,5,1,0,0,5539,0,0,0,12,5,390,2,159,3,0,no
2380,52,9,1,1,0,137,0,0,0,6,5,227,2,-1,0,3,yes
99,35,1,0,1,0,0,1,0,2,20,8,1205,1,-1,0,3,yes
8080,42,3,1,0,1,16,0,0,2,11,6,79,1,-1,0,3,no
6343,30,4,2,2,0,1466,0,0,0,12,1,111,4,-1,0,3,no
4095,29,0,2,1,0,464,0,0,0,9,9,208,2,91,3,2,yes
7242,34,0,1,1,0,1467,1,0,0,17,0,113,1,332,2,0,no
2816,61,5,1,1,0,86,0,0,0,23,10,149,1,-1,0,3,yes
1885,40,1,1,1,0,1808,1,0,0,12,8,560,1,-1,0,3,yes
866,37,4,1,2,0,40,0,0,0,27,1,1033,4,-1,0,3,yes
1466,36,7,2,1,0,-253,1,0,0,14,0,1073,1,-1,0,3,yes
6879,34,1,1,0,0,5299,1,0,2,26,6,75,5,-1,0,3,no
9799,40,9,1,1,0,990,1,0,0,6,3,252,3,-1,0,3,no
3463,64,5,1,1,0,4787,0,0,0,28,0,392,1,182,1,2,yes
3438,62,4,1,2,0,997,0,0,0,22,0,554,1,304,2,2,yes
8323,39,0,1,0,0,444,1,0,0,8,8,374,2,-1,0,3,no
6796,29,1,2,1,0,244,1,0,0,15,8,19,2,-1,0,3,no
10805,51,11,1,3,0,2642,0,0,0,29,5,52,6,-1,0,3,no
4772,46,6,1,1,0,548,0,0,0,12,1,1181,4,-1,0,3,yes
8853,42,1,1,0,0,803,1,0,2,7,8,171,2,-1,0,3,no
3684,28,4,2,2,1,1414,1,0,0,8,5,294,1,521,1,0,yes
852,48,4,2,2,0,830,0,0,0,25,1,961,4,-1,0,3,yes
4289,27,8,2,1,0,213,0,0,0,27,7,378,1,-1,0,3,yes
7952,36,7,0,0,0,418,1,0,0,8,8,156,2,-1,0,3,no
447,51,7,0,1,0,242,0,1,0,14,5,1336,4,-1,0,3,yes
4090,22,8,2,1,0,2488,0,0,0,8,9,449,2,38,10,1,yes
7941,76,5,1,0,0,163,0,0,1,13,10,120,1,-1,0,3,no
1253,28,6,2,2,0,805,0,0,0,16,3,331,1,-1,0,3,yes
8251,58,4,2,2,0,342,0,1,0,11,5,564,2,-1,0,3,no
9861,32,6,1,1,0,1942,1,0,2,30,8,84,9,-1,0,3,no
2432,47,4,2,2,0,86,0,0,0,5,1,253,1,97,4,2,yes
10031,42,4,1,2,0,-700,1,0,2,14,8,110,1,-1,0,3,no
307,47,4,1,1,0,2892,0,0,2,17,6,556,1,-1,0,3,yes
10845,31,4,1,2,0,22867,1,0,2,27,8,241,2,-1,0,3,no
3072,41,9,2,3,0,5372,1,0,0,13,4,248,3,-1,0,3,yes
4192,34,4,1,2,0,1006,1,0,0,19,9,783,3,195,2,1,yes
7928,35,1,1,0,0,0,0,0,0,31,5,57,4,-1,0,3,no
7339,34,1,1,1,0,405,1,0,2,21,8,103,1,-1,0,3,no
8443,45,0,1,1,0,0,0,0,0,14,1,113,2,-1,0,3,no
1512,32,7,1,1,0,1273,1,0,0,16,0,1365,2,328,1,0,yes
10788,41,1,1,1,0,4910,1,0,0,3,0,1090,1,-1,0,3,no
2133,58,9,1,1,0,3399,0,0,0,26,8,1078,1,97,7,1,yes
7020,23,8,2,1,0,151,1,0,2,9,8,97,1,-1,0,3,no
10379,32,9,2,1,0,-1,1,0,0,12,8,37,1,-1,0,3,no
4721,49,9,0,3,0,387,0,0,0,28,4,325,1,-1,0,3,yes
5577,52,4,1,2,0,601,1,0,2,14,8,249,2,-1,0,3,no
7208,54,4,1,2,0,154,0,0,2,9,8,155,3,-1,0,3,no
8650,54,4,1,2,0,1146,1,0,0,12,1,205,2,-1,0,3,no
8069,38,1,2,0,0,947,1,0,0,12,8,361,2,-1,0,3,no
